,Title,Location,Company,Salary
1120,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1121,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1122,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1123,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1124,newESG Data Scientist,"New York, NY",MSCI Inc,
1125,Data Scientist,"Nanuet, NY+1 location",Alldus,
1126,Data Scientist,"New York, NY 10036",Pluto TV,
1127,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1128,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1129,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1130,Analyst-Data Science,"New York, NY",Amex,
1131,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1132,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1133,Data Scientist,"Corning, NY 14831",Corning,
1134,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1135,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1136,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1137,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1138,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1139,newESG Data Scientist,"New York, NY",MSCI Inc,
1140,Data Scientist,"Nanuet, NY+1 location",Alldus,
1141,Data Scientist,"New York, NY 10036",Pluto TV,
1142,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1143,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1144,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1145,Analyst-Data Science,"New York, NY",Amex,
1146,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1147,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1148,Data Scientist,"Corning, NY 14831",Corning,
1149,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1150,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1151,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1152,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1153,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1154,newESG Data Scientist,"New York, NY",MSCI Inc,
1155,Data Scientist,"Nanuet, NY+1 location",Alldus,
1156,Data Scientist,"New York, NY 10036",Pluto TV,
1157,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1158,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1159,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1160,Analyst-Data Science,"New York, NY",Amex,
1161,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1162,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1163,Data Scientist,"Corning, NY 14831",Corning,
1164,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1165,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1166,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1167,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1168,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1169,newESG Data Scientist,"New York, NY",MSCI Inc,
1170,Data Scientist,"Nanuet, NY+1 location",Alldus,
1171,Data Scientist,"New York, NY 10036",Pluto TV,
1172,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
1173,Data Scientist,"Philadelphia, NY",Lieberman Research Worldwide,
1174,Data Scientist II,"New York, NY 10018 (Garment District area)•Temporarily Remote","Grubhub Holdings, Inc.",
1175,Analyst-Data Science,"New York, NY",Amex,
1176,Senior Data Scientist,"Purchase, NY 10577•Temporarily Remote",MasterCard,
1177,"Data Scientist, Algorithms","New York, NY",Bowery Farming,
1178,Data Scientist,"Corning, NY 14831",Corning,
1179,DATA CURATOR/SCIENTIST,"Brooklyn, NY 11201",HRA/DEPT OF SOCIAL SERVICES,"$75,504 - $90,000 a year"
1180,Research Scientist-Center for Data Science,"New York, NY 10012 (Greenwich Village area)",New York University,
1181,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
1182,"Senior Data Scientist, Personalization","New York, NY•Remote",Spotify,
1183,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
1184,newESG Data Scientist,"New York, NY",MSCI Inc,
1185,Data Scientist,"Nanuet, NY+1 location",Alldus,
1186,Data Scientist,"New York, NY 10036",Pluto TV,
