,Title,Location,Company,Salary
388,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
389,Data Scientist (Personalization),"New York, NY",The New York Times,
390,Data Scientist,New York State•Remote,AbleTo,
391,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
392,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
393,Data Scientist - Fraud,"Columbus, NY",Klarna,
394,Data Scientist,"New York, NY",Amex,
395,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
396,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
397,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
398,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
399,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
400,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
401,Data Scientist,"Corning, NY 14831",Corning,
402,newData Scientist,"New York, NY",BNY Mellon,
403,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
404,Data Scientist (Personalization),"New York, NY",The New York Times,
405,Data Scientist,New York State•Remote,AbleTo,
406,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
407,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
408,Data Scientist - Fraud,"Columbus, NY",Klarna,
409,Data Scientist,"New York, NY",Amex,
410,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
411,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
412,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
413,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
414,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
415,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
416,Data Scientist,"Corning, NY 14831",Corning,
417,newData Scientist,"New York, NY",BNY Mellon,
418,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
419,Data Scientist (Personalization),"New York, NY",The New York Times,
420,Data Scientist,New York State•Remote,AbleTo,
421,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
422,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
423,Data Scientist - Fraud,"Columbus, NY",Klarna,
424,Data Scientist,"New York, NY",Amex,
425,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
426,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
427,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
428,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
429,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
430,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
431,Data Scientist,"Corning, NY 14831",Corning,
432,newData Scientist,"New York, NY",BNY Mellon,
433,Data Scientist,"Buffalo, NY 14201 (Lakeview area)",IBM,
434,Data Scientist (Personalization),"New York, NY",The New York Times,
435,Data Scientist,New York State•Remote,AbleTo,
436,"newData Scientist, Product Analytics - Ads Infrastructure","New York, NY",Facebook,
437,Data Scientist,"New York, NY 10036 (Midtown area)•Remote",Source Enterprises,
438,Data Scientist - Fraud,"Columbus, NY",Klarna,
439,Data Scientist,"New York, NY",Amex,
440,Data Scientist,"New York, NY 10019 (Midtown area)",Valiance Solutions,
441,Data Scientist,"New York, NY 10018 (Garment District area)",QuaEra,
442,Data Scientist,"New York, NY•Remote",Fulcrum Analytics,
443,Data Scientist (Remote) - New York,"New York, NY•Remote",AlphaSights Ltd.,
444,Data Scientist,"New York, NY 10010 (Park Slope area)",Hinge,
445,"Senior Data Scientist, Programming Responsibility","New York, NY•Remote",Spotify,
446,Data Scientist,"Corning, NY 14831",Corning,
447,newData Scientist,"New York, NY",BNY Mellon,
